bite_date,Species,Breed,Gender,victim_zip,Bittenpart,quarantine_date
1985/5/5 0:00,DOG,,FEMALE,40229,BODY,1985/5/5 0:00
1986/2/12 0:00,DOG,,UNKNOWN,40218,BODY,1986/2/12 0:00
1987/5/7 0:00,DOG,,UNKNOWN,40219,BODY,1990/5/7 0:00
1989/11/24 0:00,DOG,,UNKNOWN,40211,BODY,
1990/2/8 0:00,DOG,,FEMALE,40203,BODY,1990/2/12 0:00
1992/8/6 0:00,DOG,,UNKNOWN,40215,BODY,1992/8/6 0:00
1992/8/26 0:00,DOG,,MALE,40210,BODY,1992/8/31 0:00
2009/10/29 0:00,CAT,,FEMALE,40206,BODY,2009/10/30 0:00
2009/12/2 0:00,DOG,,MALE,40291,BODY,2009/12/3 0:00
2009/12/11 0:00,DOG,,MALE,40272,BODY,2009/12/11 0:00
2009/12/21 0:00,DOG,,UNKNOWN,40218,HEAD,2009/12/29 0:00
2009/12/24 0:00,DOG,,MALE,40165,HEAD,2009/12/28 0:00
2009/12/24 0:00,DOG,,UNKNOWN,40229,BODY,2009/12/29 0:00
2009/12/28 0:00,DOG,,UNKNOWN,40299,HEAD,2009/12/29 0:00
2009/12/29 0:00,DOG,,FEMALE,40291,BODY,2009/12/30 0:00
2009/12/30 0:00,DOG,,FEMALE,40229,BODY,2009/12/31 0:00
2009/12/30 0:00,DOG,,MALE,40218,BODY,2010/1/6 0:00
2009/12/30 0:00,DOG,,FEMALE,40220,BODY,2010/1/6 0:00
2009/12/31 0:00,DOG,,MALE,40220,BODY,2010/1/4 0:00
2009/12/31 0:00,CAT,,MALE,40220,BODY,2010/1/4 0:00
2009/12/31 0:00,DOG,,MALE,40241,BODY,2010/1/4 0:00
2010/1/1 0:00,DOG,,FEMALE,40228,BODY,2010/1/4 0:00
2010/1/2 0:00,DOG,,MALE,40291,HEAD,2010/1/4 0:00
2010/1/2 0:00,DOG,,UNKNOWN,40219,BODY,2010/1/4 0:00
2010/1/2 0:00,CAT,,FEMALE,40291,BODY,2010/1/4 0:00
2010/1/2 0:00,DOG,,UNKNOWN,40216,BODY,2010/1/4 0:00
2010/1/2 0:00,DOG,,FEMALE,40071,HEAD,2010/1/6 0:00
2010/1/3 0:00,CAT,,UNKNOWN,40216,BODY,2010/1/20 0:00
2010/1/4 0:00,DOG,,FEMALE,40291,BODY,2010/1/6 0:00
2010/1/4 0:00,DOG,,MALE,40031,HEAD,2010/1/15 0:00
2010/1/5 0:00,DOG,,MALE,40241,BODY,2010/1/6 0:00
2010/1/5 0:00,DOG,,FEMALE,40291,BODY,2010/1/6 0:00
2010/1/6 0:00,DOG,,UNKNOWN,40217,BODY,2010/1/11 0:00
2010/1/7 0:00,DOG,,FEMALE,40217,HEAD,2010/1/8 0:00
2010/1/7 0:00,DOG,,MALE,40219,BODY,2010/1/8 0:00
2010/1/7 0:00,DOG,,MALE,40222,BODY,2010/1/8 0:00
2010/1/8 0:00,DOG,,MALE,40214,HEAD,2010/1/13 0:00
2010/1/8 0:00,DOG,,FEMALE,40291,BODY,2010/1/11 0:00
2010/1/9 0:00,DOG,,UNKNOWN,40219,BODY,
2010/1/9 0:00,CAT,,UNKNOWN,40272,BODY,2010/1/11 0:00
2010/1/9 0:00,CAT,,UNKNOWN,40272,BODY,2010/1/9 0:00
2010/1/10 0:00,DOG,,UNKNOWN,40229,HEAD,2010/1/11 0:00
2010/1/11 0:00,DOG,,MALE,40272,BODY,2010/1/11 0:00
2010/1/11 0:00,DOG,,MALE,40272,HEAD,2010/1/12 0:00
2010/1/11 0:00,DOG,,FEMALE,40272,HEAD,2010/1/12 0:00
2010/1/12 0:00,DOG,,MALE,40214,BODY,
2010/1/12 0:00,DOG,,MALE,40204,BODY,2010/1/13 0:00
2010/1/12 0:00,DOG,,MALE,40219,BODY,2010/1/13 0:00
2010/1/12 0:00,CAT,,UNKNOWN,40208,BODY,2010/1/12 0:00
2010/1/14 0:00,DOG,,UNKNOWN,40206,BODY,2010/1/15 0:00
2010/1/14 0:00,DOG,,MALE,40299,BODY,2010/1/20 0:00
2010/1/15 0:00,DOG,,MALE,40272,HEAD,2010/1/19 0:00
2010/1/16 0:00,CAT,,FEMALE,40222,BODY,2010/1/19 0:00
2010/1/16 0:00,DOG,,MALE,40219,BODY,2010/1/21 0:00
2010/1/16 0:00,DOG,,MALE,40205,BODY,2010/1/20 0:00
2010/1/17 0:00,CAT,,MALE,40206,BODY,2010/1/19 0:00
2010/1/19 0:00,DOG,,MALE,40207,BODY,2010/1/20 0:00
2010/1/20 0:00,DOG,,MALE,40223,BODY,2010/1/28 0:00
2010/1/21 0:00,DOG,,FEMALE,40223,HEAD,2010/1/25 0:00
2010/1/22 0:00,CAT,,MALE,40258,BODY,2010/1/25 0:00
2010/1/23 0:00,DOG,,UNKNOWN,40208,BODY,2010/1/25 0:00
2010/1/24 0:00,DOG,,MALE,40245,HEAD,2010/1/26 0:00
2010/1/25 0:00,CAT,,FEMALE,40208,HEAD,2010/1/28 0:00
2010/1/25 0:00,DOG,,FEMALE,42784,BODY,2010/1/25 0:00
2010/1/25 0:00,DOG,,FEMALE,40165,BODY,2010/1/28 0:00
2010/1/26 0:00,DOG,,MALE,40206,BODY,2010/1/27 0:00
2010/1/27 0:00,DOG,,MALE,40299,BODY,2010/1/28 0:00
2010/1/27 0:00,CAT,,UNKNOWN,40220,BODY,2010/1/28 0:00
2010/1/27 0:00,DOG,,UNKNOWN,40291,BODY,2010/1/28 0:00
2010/1/27 0:00,DOG,,UNKNOWN,40272,BODY,2010/2/1 0:00
2010/1/27 0:00,DOG,,FEMALE,40229,BODY,2011/1/28 0:00
2010/1/28 0:00,DOG,,FEMALE,40218,HEAD,2010/2/1 0:00
2010/1/28 0:00,DOG,,FEMALE,40204,BODY,2010/2/1 0:00
2010/1/29 0:00,DOG,,MALE,40210,HEAD,2010/2/2 0:00
2010/1/29 0:00,DOG,,FEMALE,40291,BODY,2010/2/1 0:00
